"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"1",9.73290059449996e-20,0.133503567426679,1,0.059,3.48924486312823e-16,"26","Stx3",0.941,0.917297410669751
"2",1.23192984509842e-19,0.54848003848125,1,0.133,4.41646849467785e-16,"26","Ms4a2",0.867,0.819852138841571
"3",1.25753699449212e-19,0.213101692623576,0.987,0.027,4.50827012525427e-16,"26","Cd200r3",0.96,0.952155690931475
"4",1.63549159151172e-19,0.675637188922101,1,0.187,5.86323735556952e-16,"26","Fcer1a",0.813,0.75268006502018
"5",2.78101677339645e-19,0.45777925295249,1,0.208,9.96994513262627e-16,"26","Csrp3",0.792,0.727379545337008
"6",3.9721278032439e-19,0.104186655523967,0.994,0.143,1.42400781746294e-15,"26","Slc18a2",0.851,0.802840006183718
"7",4.65703337754392e-19,0.127871401618183,0.961,0.01,1.6695464658495e-15,"26","Rnase12",0.951,0.957234242552992
"8",4.66489724375163e-19,0.144901999080549,0.968,0.011,1.67236566188496e-15,"26","Cyp11a1",0.957,0.960947223436225
"9",4.96263304751146e-19,0.131051422990941,1,0.301,1.77910394753286e-15,"26","Fut7",0.699,0.620379037944292
"10",6.33993993521913e-17,0.155389274281165,0.981,0.324,2.27286846677606e-13,"26","Csf2rb",0.657,0.581325758082269
