"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff","log.pct.diff"
"1",2.26106023811431e-18,0.255049321697628,1,0.295,8.10590095363981e-15,"57","Flt3",0.705,0.627047902088171
"2",9.0765724084451e-18,0.179807669193864,1,0.392,3.25395120842757e-14,"57","Gpr171",0.608,0.522840788813359
"3",1.09203845233432e-17,0.631539495319625,1,0.505,3.91495785161854e-14,"57","Dntt",0.495,0.410236513015023
"4",1.48678519260875e-17,0.375961222453642,0.986,0.39,5.33012491550236e-14,"57","Wfdc17",0.596,0.514780739917504
"5",2.94883007574276e-17,0.26000776360851,0.993,0.443,1.05715558215378e-13,"57","Myl10",0.55,0.46587041034786
"6",4.81990337749659e-17,0.157401803933181,1,0.323,1.72793536083253e-13,"57","Satb1",0.677,0.59618693838341
"7",1.49168949701146e-16,0.107572045299577,0.986,0.478,5.3477068467861e-13,"57","Cd69",0.508,0.426219353382223
"8",4.80810761627126e-15,0.105362464193199,1,0.593,1.72370658043325e-11,"57","Bmyc",0.407,0.328253733136777
"9",5.15947643676109e-15,0.107449634652944,0.986,0.378,1.84967230257885e-11,"57","Adgrl4",0.608,0.527289734824082
"10",3.27974566243793e-14,0.164786750780699,0.993,0.507,1.175788819984e-10,"57","Tcf4",0.486,0.403262293241234
